"","site","hour","AVG_NO2","X","site_network_id","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"1","gi4",0,24.48,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"2","gib1",0,9.3234375,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"3","gib2",0,9.3234375,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"4","gi4",1,29.4046875,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"5","gib1",1,11.2359375,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"6","gib2",1,10.7578125,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"7","gi4",2,30.3609375,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"8","gib1",2,9.5625,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"9","gib2",2,12.1921875,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"10","gi4",3,24.8625,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"11","gib1",3,7.171875,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"12","gib2",3,7.65,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"13","gi4",4,25.340625,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"14","gib1",4,6.4546875,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"15","gib2",4,8.8453125,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"16","gi4",5,27.73125,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"17","gib1",5,10.996875,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"18","gib2",5,10.51875,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
