"","date","date_end","site","site_name","no2"
"1",2016-05-02 00:00:00,2016-05-02 01:00:00,"gi4","Withams Road",30.6
"2",2016-05-02 01:00:00,2016-05-02 02:00:00,"gi4","Withams Road",21.0375
"3",2016-05-02 02:00:00,2016-05-02 03:00:00,"gi4","Withams Road",9.5625
"4",2016-05-02 03:00:00,2016-05-02 04:00:00,"gi4","Withams Road",30.6
"5",2016-05-02 04:00:00,2016-05-02 05:00:00,"gi4","Withams Road",30.6
"6",2016-05-02 05:00:00,2016-05-02 06:00:00,"gi4","Withams Road",28.6875
"7",2016-05-02 06:00:00,2016-05-02 07:00:00,"gi4","Withams Road",34.425
"8",2016-05-02 07:00:00,2016-05-02 08:00:00,"gi4","Withams Road",63.1125
"9",2016-05-02 08:00:00,2016-05-02 09:00:00,"gi4","Withams Road",63.1125
"10",2016-05-02 09:00:00,2016-05-02 10:00:00,"gi4","Withams Road",74.5875
"11",2016-05-02 10:00:00,2016-05-02 11:00:00,"gi4","Withams Road",66.9375
"12",2016-05-02 11:00:00,2016-05-02 12:00:00,"gi4","Withams Road",66.9375
"13",2016-05-02 12:00:00,2016-05-02 13:00:00,"gi4","Withams Road",72.675
"14",2016-05-02 13:00:00,2016-05-02 14:00:00,"gi4","Withams Road",72.675
"15",2016-05-02 14:00:00,2016-05-02 15:00:00,"gi4","Withams Road",59.2875
"16",2016-05-02 15:00:00,2016-05-02 16:00:00,"gi4","Withams Road",72.675
"17",2016-05-02 16:00:00,2016-05-02 17:00:00,"gi4","Withams Road",65.025
"18",2016-05-02 17:00:00,2016-05-02 18:00:00,"gi4","Withams Road",63.1125
"19",2016-05-02 18:00:00,2016-05-02 19:00:00,"gi4","Withams Road",43.9875
"20",2016-05-02 19:00:00,2016-05-02 20:00:00,"gi4","Withams Road",63.1125
"21",2016-05-02 20:00:00,2016-05-02 21:00:00,"gi4","Withams Road",86.0625
"22",2016-05-02 21:00:00,2016-05-02 22:00:00,"gi4","Withams Road",78.4125
"23",2016-05-02 22:00:00,2016-05-02 23:00:00,"gi4","Withams Road",72.675
"24",2016-05-03 00:00:00,2016-05-03 01:00:00,"gi4","Withams Road",NA
"25",2016-05-03 01:00:00,2016-05-03 02:00:00,"gi4","Withams Road",72.675
"26",2016-05-03 02:00:00,2016-05-03 03:00:00,"gi4","Withams Road",89.8875
"27",2016-05-03 03:00:00,2016-05-03 04:00:00,"gi4","Withams Road",80.325
"28",2016-05-03 04:00:00,2016-05-03 05:00:00,"gi4","Withams Road",86.0625
"29",2016-05-03 05:00:00,2016-05-03 06:00:00,"gi4","Withams Road",78.4125
"30",2016-05-03 06:00:00,2016-05-03 07:00:00,"gi4","Withams Road",87.975
"31",2016-05-03 07:00:00,2016-05-03 08:00:00,"gi4","Withams Road",112.8375
"32",2016-05-03 08:00:00,2016-05-03 09:00:00,"gi4","Withams Road",120.4875
"33",2016-05-03 09:00:00,2016-05-03 10:00:00,"gi4","Withams Road",87.975
"34",2016-05-03 10:00:00,2016-05-03 11:00:00,"gi4","Withams Road",120.4875
"35",2016-05-03 11:00:00,2016-05-03 12:00:00,"gi4","Withams Road",137.7
"36",2016-05-03 12:00:00,2016-05-03 13:00:00,"gi4","Withams Road",126.225
"37",2016-05-03 13:00:00,2016-05-03 14:00:00,"gi4","Withams Road",126.225
