"","date","date_end","site","site_name","no2"
"1",2016-04-12 00:00:00,2016-04-12 01:00:00,"gi4","Withams Road",21.0375
"2",2016-04-12 01:00:00,2016-04-12 02:00:00,"gi4","Withams Road",30.6
"3",2016-04-12 02:00:00,2016-04-12 03:00:00,"gi4","Withams Road",30.6
"4",2016-04-12 03:00:00,2016-04-12 04:00:00,"gi4","Withams Road",22.95
"5",2016-04-12 04:00:00,2016-04-12 05:00:00,"gi4","Withams Road",26.775
"6",2016-04-12 05:00:00,2016-04-12 06:00:00,"gi4","Withams Road",28.6875
"7",2016-04-12 06:00:00,2016-04-12 07:00:00,"gi4","Withams Road",30.6
"8",2016-04-12 07:00:00,2016-04-12 08:00:00,"gi4","Withams Road",30.6
"9",2016-04-12 08:00:00,2016-04-12 09:00:00,"gi4","Withams Road",30.6
"10",2016-04-12 10:00:00,2016-04-12 11:00:00,"gi4","Withams Road",40.1625
"11",2016-04-12 11:00:00,2016-04-12 12:00:00,"gi4","Withams Road",49.725
"12",2016-04-12 12:00:00,2016-04-12 13:00:00,"gi4","Withams Road",49.725
"13",2016-04-12 13:00:00,2016-04-12 14:00:00,"gi4","Withams Road",61.2
"14",2016-04-12 14:00:00,2016-04-12 15:00:00,"gi4","Withams Road",103.275
"15",2016-04-12 15:00:00,2016-04-12 16:00:00,"gi4","Withams Road",114.75
"16",2016-04-12 16:00:00,2016-04-12 17:00:00,"gi4","Withams Road",53.55
"17",2016-04-12 17:00:00,2016-04-12 18:00:00,"gi4","Withams Road",101.3625
"18",2016-04-12 18:00:00,2016-04-12 19:00:00,"gi4","Withams Road",91.8
"19",2016-04-12 19:00:00,2016-04-12 20:00:00,"gi4","Withams Road",99.45
"20",2016-04-12 20:00:00,2016-04-12 21:00:00,"gi4","Withams Road",76.5
"21",2016-04-12 21:00:00,2016-04-12 22:00:00,"gi4","Withams Road",105.1875
"22",2016-04-12 22:00:00,2016-04-12 23:00:00,"gi4","Withams Road",45.9
"23",2016-04-13 00:00:00,2016-04-13 01:00:00,"gi4","Withams Road",11.475
"24",2016-04-13 01:00:00,2016-04-13 02:00:00,"gi4","Withams Road",28.6875
"25",2016-04-13 02:00:00,2016-04-13 03:00:00,"gi4","Withams Road",43.9875
"26",2016-04-13 03:00:00,2016-04-13 04:00:00,"gi4","Withams Road",11.475
"27",2016-04-13 04:00:00,2016-04-13 05:00:00,"gi4","Withams Road",11.475
"28",2016-04-13 05:00:00,2016-04-13 06:00:00,"gi4","Withams Road",3.825
"29",2016-04-13 06:00:00,2016-04-13 07:00:00,"gi4","Withams Road",32.5125
"30",2016-04-13 07:00:00,2016-04-13 08:00:00,"gi4","Withams Road",42.075
"31",2016-04-13 08:00:00,2016-04-13 09:00:00,"gi4","Withams Road",15.3
"32",2016-04-13 09:00:00,2016-04-13 10:00:00,"gi4","Withams Road",9.5625
"33",2016-04-13 10:00:00,2016-04-13 11:00:00,"gi4","Withams Road",7.65
"34",2016-04-13 11:00:00,2016-04-13 12:00:00,"gi4","Withams Road",1.9125
"35",2016-04-13 12:00:00,2016-04-13 13:00:00,"gi4","Withams Road",40.1625
"36",2016-04-13 13:00:00,2016-04-13 14:00:00,"gi4","Withams Road",93.7125
"37",2016-04-13 14:00:00,2016-04-13 15:00:00,"gi4","Withams Road",66.9375
"38",2016-04-13 15:00:00,2016-04-13 16:00:00,"gi4","Withams Road",15.3
"39",2016-04-13 16:00:00,2016-04-13 17:00:00,"gi4","Withams Road",17.2125
"40",2016-04-13 17:00:00,2016-04-13 18:00:00,"gi4","Withams Road",17.2125
"41",2016-04-13 18:00:00,2016-04-13 19:00:00,"gi4","Withams Road",42.075
"42",2016-04-13 19:00:00,2016-04-13 20:00:00,"gi4","Withams Road",11.475
"43",2016-04-13 20:00:00,2016-04-13 21:00:00,"gi4","Withams Road",40.1625
"44",2016-04-13 21:00:00,2016-04-13 22:00:00,"gi4","Withams Road",40.1625
"45",2016-04-13 22:00:00,2016-04-13 23:00:00,"gi4","Withams Road",38.25
"46",2016-04-14 00:00:00,2016-04-14 01:00:00,"gi4","Withams Road",28.6875
"47",2016-04-14 01:00:00,2016-04-14 02:00:00,"gi4","Withams Road",49.725
"48",2016-04-14 02:00:00,2016-04-14 03:00:00,"gi4","Withams Road",36.3375
"49",2016-04-14 03:00:00,2016-04-14 04:00:00,"gi4","Withams Road",36.3375
