"","date","date_end","site","site_name","no2"
"1",2016-04-28 00:00:00,2016-04-28 01:00:00,"gi4","Withams Road",59.2875
"2",2016-04-28 01:00:00,2016-04-28 02:00:00,"gi4","Withams Road",21.0375
"3",2016-04-28 02:00:00,2016-04-28 03:00:00,"gi4","Withams Road",32.5125
"4",2016-04-28 03:00:00,2016-04-28 04:00:00,"gi4","Withams Road",43.9875
"5",2016-04-28 04:00:00,2016-04-28 05:00:00,"gi4","Withams Road",22.95
"6",2016-04-28 05:00:00,2016-04-28 06:00:00,"gi4","Withams Road",32.5125
"7",2016-04-28 06:00:00,2016-04-28 07:00:00,"gi4","Withams Road",19.125
"8",2016-04-28 07:00:00,2016-04-28 08:00:00,"gi4","Withams Road",24.8625
"9",2016-04-28 08:00:00,2016-04-28 09:00:00,"gi4","Withams Road",26.775
"10",2016-04-28 09:00:00,2016-04-28 10:00:00,"gi4","Withams Road",34.425
"11",2016-04-28 10:00:00,2016-04-28 11:00:00,"gi4","Withams Road",17.2125
"12",2016-04-28 11:00:00,2016-04-28 12:00:00,"gi4","Withams Road",15.3
"13",2016-04-28 12:00:00,2016-04-28 13:00:00,"gi4","Withams Road",11.475
"14",2016-04-28 13:00:00,2016-04-28 14:00:00,"gi4","Withams Road",13.3875
"15",2016-04-28 14:00:00,2016-04-28 15:00:00,"gi4","Withams Road",13.3875
"16",2016-04-28 15:00:00,2016-04-28 16:00:00,"gi4","Withams Road",19.125
"17",2016-04-28 16:00:00,2016-04-28 17:00:00,"gi4","Withams Road",65.025
"18",2016-04-28 17:00:00,2016-04-28 18:00:00,"gi4","Withams Road",40.1625
"19",2016-04-28 18:00:00,2016-04-28 19:00:00,"gi4","Withams Road",47.8125
"20",2016-04-28 19:00:00,2016-04-28 20:00:00,"gi4","Withams Road",38.25
"21",2016-04-28 20:00:00,2016-04-28 21:00:00,"gi4","Withams Road",38.25
"22",2016-04-28 21:00:00,2016-04-28 22:00:00,"gi4","Withams Road",11.475
"23",2016-04-28 22:00:00,2016-04-28 23:00:00,"gi4","Withams Road",7.65
"24",2016-04-29 00:00:00,2016-04-29 01:00:00,"gi4","Withams Road",17.2125
"25",2016-04-29 01:00:00,2016-04-29 02:00:00,"gi4","Withams Road",53.55
"26",2016-04-29 02:00:00,2016-04-29 03:00:00,"gi4","Withams Road",36.3375
"27",2016-04-29 03:00:00,2016-04-29 04:00:00,"gi4","Withams Road",9.5625
"28",2016-04-29 04:00:00,2016-04-29 05:00:00,"gi4","Withams Road",3.825
"29",2016-04-29 05:00:00,2016-04-29 06:00:00,"gi4","Withams Road",19.125
"30",2016-04-29 06:00:00,2016-04-29 07:00:00,"gi4","Withams Road",55.4625
"31",2016-04-29 07:00:00,2016-04-29 08:00:00,"gi4","Withams Road",55.4625
"32",2016-04-29 08:00:00,2016-04-29 09:00:00,"gi4","Withams Road",55.4625
"33",2016-04-29 09:00:00,2016-04-29 10:00:00,"gi4","Withams Road",51.6375
"34",2016-04-29 10:00:00,2016-04-29 11:00:00,"gi4","Withams Road",63.1125
"35",2016-04-29 11:00:00,2016-04-29 12:00:00,"gi4","Withams Road",89.8875
"36",2016-04-29 12:00:00,2016-04-29 13:00:00,"gi4","Withams Road",91.8
"37",2016-04-29 13:00:00,2016-04-29 14:00:00,"gi4","Withams Road",74.5875
"38",2016-04-29 14:00:00,2016-04-29 15:00:00,"gi4","Withams Road",61.2
"39",2016-04-29 15:00:00,2016-04-29 16:00:00,"gi4","Withams Road",49.725
"40",2016-04-29 16:00:00,2016-04-29 17:00:00,"gi4","Withams Road",49.725
"41",2016-04-29 17:00:00,2016-04-29 18:00:00,"gi4","Withams Road",43.9875
"42",2016-04-29 18:00:00,2016-04-29 19:00:00,"gi4","Withams Road",63.1125
"43",2016-04-29 19:00:00,2016-04-29 20:00:00,"gi4","Withams Road",53.55
"44",2016-04-29 20:00:00,2016-04-29 21:00:00,"gi4","Withams Road",72.675
"45",2016-04-29 21:00:00,2016-04-29 22:00:00,"gi4","Withams Road",63.1125
"46",2016-04-29 22:00:00,2016-04-29 23:00:00,"gi4","Withams Road",47.8125
"47",2016-04-30 00:00:00,2016-04-30 01:00:00,"gi4","Withams Road",NA
"48",2016-04-30 01:00:00,2016-04-30 02:00:00,"gi4","Withams Road",5.7375
"49",2016-04-30 02:00:00,2016-04-30 03:00:00,"gi4","Withams Road",0
"50",2016-04-30 03:00:00,2016-04-30 04:00:00,"gi4","Withams Road",0
