"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"1",251,"gib27","Alameda Gardens Access Road","no2",2007-01-30,NA,"urban_background",36.131153,-5.350701,"md_measurement","gibraltar"
"2",250,"gib26","Alameda Gardens Theatre","no2",2007-01-30,NA,"urban_background",36.130783,-5.351246,"md_measurement","gibraltar"
"3",273,"gib21","Anchorage Rosia Road","no2",2007-01-30,NA,"kerbside",36.123528,-5.353585,"md_measurement","gibraltar"
"4",263,"gib21","Anchorage Rosia Road","ethbenz",2007-01-30,NA,"kerbside",36.123528,-5.353585,"md_measurement","gibraltar"
"5",264,"gib21","Anchorage Rosia Road","mpxylene",2007-01-30,NA,"kerbside",36.123528,-5.353585,"md_measurement","gibraltar"
"6",266,"gib21","Anchorage Rosia Road","toluene",2007-01-30,NA,"kerbside",36.123528,-5.353585,"md_measurement","gibraltar"
"7",265,"gib21","Anchorage Rosia Road","oxylene",2007-01-30,NA,"kerbside",36.123528,-5.353585,"md_measurement","gibraltar"
"8",262,"gib21","Anchorage Rosia Road","benzene",2007-01-30,NA,"kerbside",36.123528,-5.353585,"md_measurement","gibraltar"
"9",245,"gib21","Anchorage Rosia Road","no2",2007-01-30,NA,"kerbside",36.123528,-5.353585,"md_measurement","gibraltar"
"10",241,"gib2","Bleak House","phenanthrene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"11",237,"gib2","Bleak House","fluoranthene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"12",238,"gib2","Bleak House","fluorene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"13",239,"gib2","Bleak House","indeno[123-cd]pyrene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"14",240,"gib2","Bleak House","naphthalene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"15",242,"gib2","Bleak House","pyrene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"16",311,"gib2","Bleak House","sol",2012-09-30,NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"17",236,"gib2","Bleak House","dibenz[ah.ac]anthracene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"18",235,"gib2","Bleak House","chrysene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"19",227,"gib2","Bleak House","acenaphthene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"20",229,"gib2","Bleak House","anthracene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"21",230,"gib2","Bleak House","benzo[a]anthracene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"22",231,"gib2","Bleak House","benzo[a]pyrene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"23",232,"gib2","Bleak House","benzo[ghi]perylene",2005-12-06,2008-01-01,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
